ID,link
136,http://web.stonehill.edu/compsci/cs325/
137,https://education.oracle.com/pls/web_prod-plq-dad/db_pages.getpage%3Fpage_id%3D5001%26get_params%3Dp_exam_id:1Z0-051
138,http://www.programmingforbiologists.org/syllabus/advanced-syllabus/
139,https://ils.unc.edu/courses/2015_fall/inls523_02W/SyllabusScheduleDB1-02W-Fa15.pdf
140,http://www.wvncc.edu/uploads/be_Spring2013_SyllabusCIT132_DBandSQL.pdf
141,https://github.com/w4111/syllabus
142,http://ce.sharif.ir/courses/84-85/2/ce925/index.php/section/syllabus/file/syllabus
143,http://www.regis.edu/CCIS/CCIS-Student-Portal/Grad-Syllabi.aspx
144,http://digital.cs.usu.edu/~cdyreson/teaching/databases/161/syllabus.htm
145,https://www.cs.utah.edu/~lifeifei/cs6530/
146,https://www.cs.mtsu.edu/~zdong/4560/
147,https://web.csulb.edu/~mopkins/cecs323/index.shtml
148,http://www.cs.usfca.edu/~ejung/courses/333/syllabus.html
149,http://www.d.umn.edu/~abrooks/CS4611.pdf
150,http://bergen.edu/Portals/0/Docs/Academics/INF/INF217.pdf
151,http://www.kth.se/student/kurser/kurs/AG2425%3Fl%3Den
152,http://web.cs.wpi.edu/~cs561/s07/syllabus.html
153,http://www.ieor.berkeley.edu/~ieor115/syllabus.html
154,http://cs.brown.edu/courses/cs227/syllabus.html
155,http://ce.sharif.edu/courses/93-94/1/ce734-1/index.php/section/syllabus/file/syllabus
156,https://www.classes.cs.uchicago.edu/archive/2015/fall/30235-1/syllabus.html
157,https://www.cs.drexel.edu/~julia/cs461/documents/Syllabus_Spring2015.pdf
158,https://www.liberty.edu/media/3415/courseguides/BMIS325_Syllabus.pdf
159,http://www.sela.co.il/syl/Syllabus.aspx%3FCourseCode%3DCasandra%26CategoryID%3D165
160,http://www.cs.toronto.edu/~periklis/teaching/inf1343/w14/INF1343-Winter2014-Syllabus.pdf
161,http://www.nyu.edu/classes/jcf/CSCI-GA.2433-001/handouts/Database-Systems-Course-Description-and-Syllabus-Spring2016.pdf
162,https://dental.buffalo.edu/Education/AcademicAffairs/Syllabi.aspx
163,http://faculty.orangecoastcollege.edu/mmalaty/CIS182Syllabus.pdf
164,http://www.cs.stir.ac.uk/courses/CSCU9Q5/syllabus.php
165,http://www.saylor.org/site/syllabus.php%3Fcid%3D256
166,http://www.ecdl.it/documents/100682/141605/Using%2BDatabases%2B_Syllabus_IT.pdf/aaa3c698-09e4-48a5-8502-e11fd09cfb06
167,http://faculty.cs.tamu.edu/chen/courses/608/2015/syllabus.pdf
