ID,link
118,http://d.ucsd.edu/class/intro-hci/
119,http://d.ucsd.edu/class/grad-IxD/2014/
120,http://faculty.utpa.edu/fowler/csci6363/index.html
121,http://scse.ntu.edu.sg/Programmes/CurrentStudents/Graduate/Pages/msc-digitalmedia-desc.aspx
122,http://www.ncl.ac.uk/computing/study/module/CSC3721
123,http://mba.ind.in/forum/human-computer-interaction-syllabus-mumbai-university-50506.html
124,http://userpages.umbc.edu/~skane/classes/is760/fall12/is760-fall12.pdf
125,https://cmsc434-s13.wikispaces.com/
126,http://www.mastersportal.eu/studies/32014/ict-innovation-human-computer-interaction-and-design.html
127,https://www.pdx.edu/computer-science/cs-410-top-human-computer-interaction
128,https://www.annauniv.edu/dct/documents/cse20012befull.pdf
129,http://iitg.vlab.co.in/%3Fsub%3D72%26brch%3D170
130,http://edu.mah.se/en/Program/TAIND
131,http://classie.stonybrook.edu/courses/ise323
132,http://www.citidel.org/handle/10117/7955
133,http://dspace.jdvu.ac.in/handle/123456789/9326
134,http://explorer.opensyllabusproject.org/text/7051717
135,http://www.umbc.edu/~vscott/303_dir/fall_syl.htm
136,http://dce.mst.edu/Content_Repository/soc/classes/xdis/sp2016/IST58851DIS/index.html
137,https://www.ur.edu.pl/file/15904/Graphics-and-Human---Computer-Communication.pdf
138,http://shnaton.huji.ac.il/index.php/NewSyl/67298/2/2016/
139,http://homepage.cs.uiowa.edu/~hourcade/classes/sp13-148/syllabus.html
140,http://documents.mx/documents/hci-human-computer-interaction-unit-3-of-rgpv-syllabus-558460fd262f1.html
141,http://www.zu.ac.ae/main/files/contents/assessment_resource/support_docs/Course_files_sample_reflection_good_8.2.2015.pdf
142,https://www.coursetalk.com/providers/coursera/courses/human-computer-interaction
143,https://www.bgsu.edu/content/dam/BGSU/college-of-arts-and-sciences/computer-science/documents/syllabi/cs3240.pdf
144,http://users.csc.calpoly.edu/~gfisher/classes/484/handouts/syllabus.html
145,http://courses.ischool.utexas.edu/Gwizdka_Jacek/2014/Spring/INF385C/files/HCI_Syllabus_Spring2014.pdf
146,https://www.utwente.nl/en/education/master/programmes/human-media-interaction/
147,http://www.csu.edu.au/handbook/subjects/ITC204.html
148,https://sils.unc.edu/courses
149,https://www.qcaa.qld.edu.au/downloads/senior/snr_ipt_10_syll.pdf
150,http://fci.mmu.edu.my/subject/subjectfiles/TIS2351.pdf
151,https://www.jntubook.com/human-computer-interaction-textbook-free-download/
152,https://www.cs.bham.ac.uk/internal/modules/
153,http://www.cs.brandeis.edu/%3Fpage_id%3D10
154,http://www.wbut.ac.in/syllabus/BCA_New_Syllabus.pdf
155,http://angusforbes.com/courses/ista416/
156,http://www.cs.technion.ac.il/courses/
157,https://www.ohsu.edu/xd/education/schools/school-of-medicine/departments/clinical-departments/dmice/students/class-information/upload/BMI-548-Hybrid-Syllabus09.doc
158,https://piazza.com/uniroma1.it/spring2015/1038134/home
159,https://people.cs.umass.edu/~hudlicka/AC.pdf
160,https://www.cse.unr.edu/~dascalus/GSHCI2014_syllabus.pdf
161,http://research.engineering.wustl.edu/~harmsk/teaching/cse-556a/
162,http://www.bcs.org/category/14296
163,http://www.dcs.gla.ac.uk/~johnson/papers/phd.html
164,https://www.cs.auckland.ac.nz/courses/
165,http://ceng.metu.edu.tr/~tcan/
166,http://www.ise.buffalo.edu/graduate/courses
167,http://palmerblog.liu.edu/academics/syllabi/
168,http://web.mst.edu/~carla/teaching/SyllabusIST385.pdf
169,https://connex.csc.uvic.ca/access/content/group/cc2b1976-7a70-4973-a5af-e9d2e31de06f/web/syllabus.pdf
170,http://jntuk.edu.in/academics/pgcourses/
171,https://www.fresnostate.edu/catalog/courses-by-department/computer-science/
172,http://www.guideforengineers.com/fun/articles/item/375-notes-for-human-computer-interaction.html
173,http://handbook.westernsydney.edu.au/hbook/unit.aspx%3Funit%3D300570.2
174,http://www.brunel.ac.uk/study/undergraduate/business-computing-human-computer-interaction-bsc
175,https://alison.com/
176,https://s3-sa-east-1.amazonaws.com/vnu3vde8q5fpyui/downloadfreeebook41485.pdf
177,https://www.kilgore.edu/
178,https://www.santarosa.edu/
179,http://www.durhamcollege.ca/
180,http://www.slate.com/articles/technology/future_tense/2016/09/the_difficulty_of_creating_community_in_distance_education_courses.html
181,http://www.sdcity.edu/
182,http://www.kristujayanti.edu.in/
183,https://ndvj1vj2.wordpress.com/
184,http://uoftbookstore.com/textbooks/
185,https://www.nwtc.edu/
186,http://www.crawfordschools.co.za/
187,http://www.vidya.edu.in/
188,https://www.butler.edu/
189,https://freedownload60.uniquetutorials.club/completepilotcom-get-your-private-pilot-license-75-commsupsell-62-365792.html
190,https://freeeval64.protraining.club/completepilotcom-get-your-private-pilot-license-75-commsupsell-66-392866.html
191,http://www.moveyourmind.it/it/%3Foption%3Dcom_k2%26view%3Ditemlist%26task%3Duser%26id%3D19959.html
